Date,Close,trend,Open,High,Low,Volume
2009-01-02,931.8,866.9880821709742,902.99,934.73,899.35,4048270000
2009-01-05,927.45,867.7517530749858,929.17,936.63,919.53,5413910000
2009-01-06,934.7,868.5154140337032,931.17,943.85,927.28,5392620000
2009-01-07,906.65,869.2790646512314,927.45,927.45,902.37,4704940000
2009-01-08,909.73,870.0427044857884,905.73,910.0,896.81,4991550000
2009-01-09,890.35,870.8063330542986,909.91,911.93,888.31,4716500000
2009-01-12,870.26,871.5699498341218,890.4,890.4,864.32,4725050000
2009-01-13,871.79,872.333554264293,869.79,877.02,862.02,5567460000
2009-01-14,842.62,873.0971457458588,867.28,867.28,836.93,5407880000
2009-01-15,843.74,873.8607236439415,841.99,851.59,817.04,7807350000
2009-01-16,850.12,874.6242872909198,844.45,858.13,830.66,6786040000
2009-01-20,805.22,875.3878359785236,849.64,849.64,804.47,6375230000
2009-01-21,840.24,876.1513689523911,806.77,841.72,804.3,6467830000
2009-01-22,827.5,876.9148854180514,839.74,839.74,811.29,5843830000
2009-01-23,831.95,877.6783845338679,822.16,838.61,806.07,5832160000
2009-01-26,836.57,878.4418654128555,832.5,852.53,827.69,6039940000
2009-01-27,845.71,879.2053271290335,837.3,850.45,835.4,5353260000
2009-01-28,874.09,879.9687687201719,845.73,877.86,845.73,6199180000
2009-01-29,845.14,880.7321891869952,868.89,868.89,844.15,5067060000
2009-01-30,825.88,881.49558749029,845.69,851.66,821.67,5350580000
2009-02-02,825.44,882.2589625631268,823.09,830.78,812.87,5673270000
2009-02-03,838.51,883.0223133177287,825.69,842.6,821.98,5886310000
2009-02-04,832.23,883.7856386455379,837.77,851.85,829.18,6420450000
2009-02-05,845.85,884.5489374102817,831.75,850.55,819.91,6624030000
2009-02-06,868.6,885.3122084481689,846.09,870.75,845.42,6484100000
2009-02-09,869.89,886.0754505642951,868.24,875.01,861.65,5574370000
2009-02-10,827.16,886.8386625261516,866.87,868.05,822.99,6770170000
2009-02-11,833.74,887.6018430690093,827.41,838.22,822.3,5926460000
2009-02-12,835.19,888.3649909097592,829.91,835.48,808.06,6476460000
2009-02-13,826.84,889.1281047526572,833.95,839.43,825.21,5296650000
2009-02-17,789.17,889.8911832913337,818.61,818.61,789.17,5907820000
2009-02-18,788.42,890.6542252096958,791.06,796.17,780.43,5740710000
2009-02-19,778.94,891.4172291892374,787.91,797.58,777.03,5746940000
2009-02-20,770.05,892.1801939135984,775.87,778.69,754.25,8210590000
2009-02-23,743.33,892.9431180760957,773.25,777.85,742.37,6509300000
2009-02-24,773.14,893.7060003844058,744.69,775.49,744.69,7234490000
2009-02-25,764.9,894.468839566344,770.64,780.12,752.89,7483640000
